Brand,Type,Count
Nissin,Bowl,75
Nissin,Cup,177
Nissin,Pack,134
Nissin,Tray,27
Nongshim,Bowl,32
Nongshim,Cup,20
Nongshim,Pack,50
Nongshim,Tray,2
Mama,Bowl,6
Mama,Cup,22
Mama,Pack,70
Maruchan,Bowl,25
Maruchan,Cup,21
Maruchan,Pack,28
Maruchan,Tray,14
Myojo,Bowl,27
Myojo,Cup,1
Myojo,Pack,37
Myojo,Tray,11
Paldo,Bowl,17
Paldo,Cup,10
Paldo,Pack,37
Paldo,Tray,5
Samyang Foods,Bowl,18
Samyang Foods,Cup,8
Samyang Foods,Pack,39
Indomie,Cup,6
Indomie,Pack,49
Koka,Bowl,7
Koka,Cup,13
Koka,Pack,34
Ottogi,Bowl,8
Ottogi,Cup,7
Ottogi,Pack,33
