Brand,Type,Count
Nissin,Bowl,75
Nissin,Cup,177
Nissin,Pack,134
Nissin,Tray,27
Nissin Total,,413
Nongshim,Bowl,32
Nongshim,Cup,20
Nongshim,Pack,50
Nongshim,Tray,2
Nongshim Total,,104
Mama,Bowl,6
Mama,Cup,22
Mama,Pack,70
Mama Total,,98
Maruchan,Bowl,25
Maruchan,Cup,21
Maruchan,Pack,28
Maruchan,Tray,14
Maruchan Total,,88
Myojo,Bowl,27
Myojo,Cup,1
Myojo,Pack,37
Myojo,Tray,11
Myojo Total,,76
Paldo,Bowl,17
Paldo,Cup,10
Paldo,Pack,37
Paldo,Tray,5
Paldo Total,,69
Samyang Foods,Bowl,18
Samyang Foods,Cup,8
Samyang Foods,Pack,39
Samyang Foods Total,,65
Indomie,Cup,6
Indomie,Pack,49
Indomie Total,,55
Koka,Bowl,7
Koka,Cup,13
Koka,Pack,34
Koka Total,,54
Ottogi,Bowl,8
Ottogi,Cup,7
Ottogi,Pack,33
Ottogi Total,,48
Maggi,Cup,4
Maggi,Pack,32
Maggi Total,,36
Vifon,Bowl,7
Vifon,Cup,3
Vifon,Pack,25
Vifon Total,,35
Vina Acecook,Bowl,4
Vina Acecook,Cup,1
Vina Acecook,Pack,28
Vina Acecook,Tray,1
Vina Acecook Total,,34
Lucky Me!,Bowl,10
Lucky Me!,Cup,1
Lucky Me!,Pack,23
Lucky Me! Total,,34
Sapporo Ichiban,Bowl,4
Sapporo Ichiban,Cup,9
Sapporo Ichiban,Pack,14
Sapporo Ichiban,Tray,3
Sapporo Ichiban Total,,30
Mamee,Cup,9
Mamee,Pack,20
Mamee Total,,29
MyKuali,Bowl,4
MyKuali,Box,3
MyKuali,Cup,3
MyKuali,Pack,19
MyKuali Total,,29
Master Kong,Bowl,5
Master Kong,Pack,22
Master Kong,Tray,1
Master Kong Total,,28
JML,Bowl,11
JML,Pack,14
JML,Tray,1
JML Total,,26
A-Sha Dry Noodle,Pack,23
A-Sha Dry Noodle,Tray,3
A-Sha Dry Noodle Total,,26
Ve Wong,Bowl,10
Ve Wong,Pack,16
Ve Wong Total,,26
Acecook,Bowl,9
Acecook,Cup,10
Acecook,Pack,2
Acecook,Tray,5
Acecook Total,,26
Wai Wai,Bowl,1
Wai Wai,Cup,2
Wai Wai,Pack,22
Wai Wai Total,,25
Wei Lih,Bowl,5
Wei Lih,Pack,16
Wei Lih Total,,21
Samyang,Bowl,3
Samyang,Cup,2
Samyang,Pack,14
Samyang Total,,19
Batchelors,Bowl,2
Batchelors,Pack,14
Batchelors Total,,16
Sau Tao,Bowl,5
Sau Tao,Pack,11
Sau Tao Total,,16
Doll,Cup,2
Doll,Pack,13
Doll,Tray,1
Doll Total,,16
Mr. Noodles,Bowl,6
Mr. Noodles,Cup,3
Mr. Noodles,Pack,7
Mr. Noodles Total,,16
Kamfen,Bowl,5
Kamfen,Pack,5
Kamfen,Tray,4
Kamfen,(blank),1
Kamfen Total,,15
Little Cook,Bowl,9
Little Cook,Cup,6
Little Cook Total,,15
Asian Thai Foods,Pack,14
Asian Thai Foods Total,,14
Takamori Kosan,Pack,14
Takamori Kosan Total,,14
Dragonfly,Bowl,7
Dragonfly,Pack,6
Dragonfly Total,,13
Vit's,Pack,13
Vit's Total,,13
Unif,Bowl,7
Unif,Pack,5
Unif,(blank),1
Unif Total,,13
Deshome,Pack,13
Deshome Total,,13
Yum Yum,Bowl,2
Yum Yum,Cup,1
Yum Yum,Pack,10
Yum Yum Total,,13
Saigon Ve Wong,Bowl,7
Saigon Ve Wong,Pack,6
Saigon Ve Wong Total,,13
Uni-President,Bowl,5
Uni-President,Cup,1
Uni-President,Pack,6
Uni-President Total,,12
Annie Chun's,Bowl,4
Annie Chun's,Pack,5
Annie Chun's,Tray,3
Annie Chun's Total,,12
Vedan,Bowl,5
Vedan,Cup,1
Vedan,Pack,6
Vedan Total,,12
Mi Sedaap,Cup,2
Mi Sedaap,Pack,10
Mi Sedaap Total,,12
Wu-Mu,Pack,12
Wu-Mu Total,,12
ABC,Cup,6
ABC,Pack,6
ABC Total,,12
Golden Wheat,Bowl,3
Golden Wheat,Cup,4
Golden Wheat,Pack,5
Golden Wheat Total,,12
Yamachan,Pack,11
Yamachan Total,,11
Unif / Tung-I,Pack,11
Unif / Tung-I Total,,11
Shirakiku,Bowl,3
Shirakiku,Pack,8
Shirakiku Total,,11
Pot Noodle,Cup,11
Pot Noodle Total,,11
Baijia,Bowl,1
Baijia,Cup,2
Baijia,Pack,8
Baijia Total,,11
New Touch,Bowl,7
New Touch,Cup,2
New Touch,Tray,1
New Touch Total,,10
Ibumie,Pack,10
Ibumie Total,,10
Thai Kitchen,Bowl,3
Thai Kitchen,Pack,5
Thai Kitchen,Tray,2
Thai Kitchen Total,,10
